Source,Emotion,Gender,Path
RAVDESS,surprised,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-08-02-02-01-01.wav
RAVDESS,surprised,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-08-01-01-01-01.wav
RAVDESS,angry,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-05-01-02-01-01.wav
RAVDESS,fear,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-06-01-02-02-01.wav
RAVDESS,fear,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-06-02-01-02-01.wav
RAVDESS,angry,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-05-02-01-01-01.wav
RAVDESS,sad,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-04-01-01-02-01.wav
RAVDESS,sad,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-04-02-02-02-01.wav
RAVDESS,happy,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-03-02-02-02-01.wav
RAVDESS,happy,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-03-01-01-02-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-01-01-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-02-02-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-02-01-01.wav
RAVDESS,happy,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-03-02-01-01-01.wav
RAVDESS,happy,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-03-01-02-01-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-02-02-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-01-02-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-01-01-01.wav
RAVDESS,surprised,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-08-02-01-02-01.wav
RAVDESS,surprised,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-08-01-02-02-01.wav
RAVDESS,fear,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-06-01-01-01-01.wav
RAVDESS,angry,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-05-01-01-02-01.wav
RAVDESS,angry,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-05-02-02-02-01.wav
RAVDESS,fear,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-06-02-02-01-01.wav
RAVDESS,sad,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-04-01-02-01-01.wav
RAVDESS,sad,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-04-02-01-01-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-02-02-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-02-01-01.wav
RAVDESS,neutral,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-01-02-01.wav
RAVDESS,happy,male,/Users/kashyapbrahmandam/Desktop/Kaggle Files/content/ravdess-emotional-speech-audio/Actor_01/03-01-03-01-01-01-01.wav
